X;Y;Z
603252.8425;135045.1142;2665.725668
603317.1602;135045.1142;2718.252011
603381.478;135045.1142;2793.273146
603445.7957;135045.1142;2802.369652
603510.1135;135045.1142;2790.362552
603574.4312;135045.1142;2778.676722
597206.9741;134980.83;2586.253405
597271.2918;134980.83;2574.76611
597335.6096;134980.83;2555.692002
597399.9273;134980.83;2534.189013
597464.2451;134980.83;2516.818089
597528.5628;134980.83;2506.230525
597592.8806;134980.83;2502.097296
597657.1983;134980.83;2497.647042
597721.5161;134980.83;2472.530786
597785.8338;134980.83;2449.52084
597850.1516;134980.83;2434.634119
597914.4693;134980.83;2419.311252
597978.7871;134980.83;2403.338573
598043.1048;134980.83;2390.236068
598107.4226;134980.83;2368.809016
598171.7403;134980.83;2346.35298
598236.0581;134980.83;2320.985873
598300.3758;134980.83;2300.99768
598364.6936;134980.83;2301.585184
598429.0113;134980.83;2308.164026
598493.3291;134980.83;2315.297794
598557.6468;134980.83;2322.462309
598621.9646;134980.83;2320.644788
598686.2823;134980.83;2330.271124
598750.6001;134980.83;2347.300813
598814.9178;134980.83;2369.590635
598879.2356;134980.83;2389.162542
598943.5533;134980.83;2403.336365
599007.8711;134980.83;2423.932172
599072.1888;134980.83;2450.333771
599136.5066;134980.83;2480.227043
599200.8243;134980.83;2501.982803
599265.1421;134980.83;2519.829064
599329.4598;134980.83;2538.480309
599393.7775;134980.83;2539.270656
599458.0953;134980.83;2548.177696
599522.413;134980.83;2558.344125
599586.7308;134980.83;2572.256115
599651.0485;134980.83;2597.278385
599715.3663;134980.83;2633.719072
599779.684;134980.83;2688.943941
599844.0018;134980.83;2703.679289
599908.3195;134980.83;2706.817622
599972.6373;134980.83;2704.827694
600036.955;134980.83;2699.491004
600101.2728;134980.83;2693.344489
600165.5905;134980.83;2682.002673
600229.9083;134980.83;2665.174372
600294.226;134980.83;2645.120143
600358.5438;134980.83;2628.02137
600422.8615;134980.83;2616.011579
600487.1793;134980.83;2605.677051
600551.497;134980.83;2598.664913
600615.8148;134980.83;2596.626272
600680.1325;134980.83;2595.904605
600744.4503;134980.83;2589.946756
600808.768;134980.83;2582.809155
600873.0858;134980.83;2575.333703
600937.4035;134980.83;2561.767112
601001.7213;134980.83;2545.725831
601066.039;134980.83;2529.22209
601130.3568;134980.83;2513.854756
601194.6745;134980.83;2502.771575
601258.9923;134980.83;2498.388613
601323.31;134980.83;2497.206192
601387.6278;134980.83;2498.889389
601451.9455;134980.83;2500.105147
601516.2632;134980.83;2504.444167
601580.581;134980.83;2515.579592
601644.8987;134980.83;2527.284457
601709.2165;134980.83;2536.186807
601773.5342;134980.83;2540.880151
601837.852;134980.83;2540.105906
601902.1697;134980.83;2533.314637
601966.4875;134980.83;2522.220101
602030.8052;134980.83;2509.443153
602095.123;134980.83;2500.137201
602159.4407;134980.83;2497.74727
602223.7585;134980.83;2497.666931
602288.0762;134980.83;2498.035724
602352.394;134980.83;2497.560319
602416.7117;134980.83;2496.288209
602481.0295;134980.83;2494.822726
602545.3472;134980.83;2493.05858
602609.665;134980.83;2491.514446
602673.9827;134980.83;2490.150606
602738.3005;134980.83;2489.650455
602802.6182;134980.83;2490.456866
602866.936;134980.83;2495.029303
602931.2537;134980.83;2514.847137
602995.5715;134980.83;2549.009356
603059.8892;134980.83;2585.145881
603124.207;134980.83;2611.925243
603188.5247;134980.83;2632.413516
603252.8425;134980.83;2656.811096
603317.1602;134980.83;2717.437553
603381.478;134980.83;2819.373449
603445.7957;134980.83;2804.257132
603510.1135;134980.83;2756.540373
603574.4312;134980.83;2726.780712
597206.9741;134916.5458;2560.658369
597271.2918;134916.5458;2552.334564
597335.6096;134916.5458;2536.018732
597399.9273;134916.5458;2515.013916
597464.2451;134916.5458;2500.722081
597528.5628;134916.5458;2498.661892
597592.8806;134916.5458;2495.753765
597657.1983;134916.5458;2483.554055
597721.5161;134916.5458;2468.445912
597785.8338;134916.5458;2450.789466
597850.1516;134916.5458;2433.206882
597914.4693;134916.5458;2415.933315
597978.7871;134916.5458;2402.528073
598043.1048;134916.5458;2388.449276
598107.4226;134916.5458;2364.913572
598171.7403;134916.5458;2337.841962
598236.0581;134916.5458;2308.172157
598300.3758;134916.5458;2292.934495
598364.6936;134916.5458;2290.568796
598429.0113;134916.5458;2296.774414
598493.3291;134916.5458;2305.250904
598557.6468;134916.5458;2310.70057
598621.9646;134916.5458;2318.491695
598686.2823;134916.5458;2320.999269
598750.6001;134916.5458;2334.842439
598814.9178;134916.5458;2368.236906
598879.2356;134916.5458;2397.334496
598943.5533;134916.5458;2414.298968
599007.8711;134916.5458;2436.536478
599072.1888;134916.5458;2466.89194
599136.5066;134916.5458;2489.252232
599200.8243;134916.5458;2508.492049
599265.1421;134916.5458;2532.499765
599329.4598;134916.5458;2553.273007
599393.7775;134916.5458;2562.890264
599458.0953;134916.5458;2570.801886
599522.413;134916.5458;2581.460877
599586.7308;134916.5458;2601.655983
